Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Sara's Sandwiches,61.1680606,-149.8973535,"5841 Arctic Blvd, Anchorage, AK 99518, United States",ChIJ0V_TRoyXyFYR1gIjP_WcRnY,/biz/saras-sandwiches-anchorage?osq=Restaurants,0.0771440545569437,3.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Thai Delight Restaurant,61.1876631,-149.8973188,"3609 Arctic Blvd, Anchorage, AK 99503, United States",ChIJ0Y40UMKXyFYR3C-uKiYtMQ8,/biz/thai-delight-restaurant-anchorage?osq=Restaurants,0.038252252097829,4.2,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Taste of India,61.1746935,-149.8971209,"5011 Arctic Blvd I, Anchorage, AK 99503, United States",ChIJjVxi_OKXyFYRfROqcoUrb18,/biz/taste-of-india-anchorage?osq=Restaurants,0.150873228744997,4.6,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Luigi's Pizza,61.1747907,-149.8970974,"5011 Arctic Blvd H, Anchorage, AK 99503, United States",ChIJRx6405KXyFYRakFJzWnU-9w,/biz/luigis-pizza-anchorage?osq=Restaurants,0.075139805995448,4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Lucky Kitchen,61.1750936,-149.8970902,"5011 Arctic Blvd B, Anchorage, AK 99503, United States",ChIJlSs30pKXyFYR3yEafyr82Ho,/biz/lucky-kitchen-anchorage?osq=Restaurants,0.104271858061434,3,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,1
Alaskan Burger & Brew,61.1745389,-149.8970669,"5121 Arctic Blvd H, Anchorage, AK 99503, United States",ChIJs0EHkN6XyFYRlpeSZqATTYc,/biz/alaskan-burger-and-brew-anchorage?osq=Restaurants,0.233805973703875,4.2,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Sweet Caribou,61.1883046,-149.8965978,"701 W 36th Ave #19, Anchorage, AK 99503, United States",ChIJy_aGscOXyFYRFrH_k3JqUOA,/biz/sweet-caribou-anchorage?osq=Restaurants,0.0671600682760137,4.7,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Jens' Restaurant,61.1890855,-149.8965651,"701 W 36th Ave, Anchorage, AK 99503, United States",ChIJ90egSsKXyFYR6YQY4Bza5yA,/biz/jens-restaurant-anchorage?osq=Restaurants,0.216850990399188,4.3,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Glacier BrewHouse,61.2178459,-149.8964654,"737 W 5th Ave #110, Anchorage, AK 99501, United States",ChIJ7bXHMYe9yFYRdVPg648EZGY,/biz/glacier-brewhouse-anchorage?osq=Restaurants,0.62220110333336,4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Horizon's Cafe,61.2148174,-149.8963888,"701 W 8th Ave, Anchorage, AK 99501, United States",ChIJyzaeg4C9yFYRtzSj5SJeR5w,/biz/horizons-cafe-anchorage?osq=Restaurants,0.0220265359430892,3.7,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
