Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment ,HUne,Wealth,HWe,Attraction,Hotspot
Budsi's Authentic Thai,29.9671824,-90.0615693,"1760 N Rampart St, New Orleans, LA 70116, United States",ChIJV7hGT4inIIYRc0agN8LwFAM,/biz/budsis-authentic-thai-new-orleans-2?osq=Restaurants,70116,0.055158745363848,3.7,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
Bennachin Restaurant,29.9622141,-90.0608957,"1212 Royal St, New Orleans, LA 70116, United States",ChIJnVHRrhCmIIYRoULesthCXJA,/biz/bennachin-restaurant-new-orleans?osq=Restaurants,70116,0.0211861416546221,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
The Original French Market Restaurant and Bar,29.9592793,-90.060762,"1001 Decatur St, New Orleans, LA 70116, United States",ChIJXfNOKxGmIIYRGjEUZcolHbU,/biz/the-original-french-market-restaurant-and-bar-new-orleans-2?osq=Restaurants,70116,0.0255054610196471,3.7,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Cafe Sbisa,29.959473,-90.060654,"1011 Decatur St, New Orleans, LA 70116, United States",ChIJJa_j1BamIIYRwjQvz7DNtoQ,/biz/cafe-sbisa-new-orleans?osq=Restaurants,70116,0.171654937100596,4.5,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Coop's Place,29.9601557,-90.0598518,"1109 Decatur St, New Orleans, LA 70116, United States",ChIJ46iuJRemIIYRu9A0CFzIAHg,/biz/coops-place-new-orleans?osq=Restaurants,70116,0.0554404174682563,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Cane and Table,29.9602118,-90.0598141,"1113 Decatur St, New Orleans, LA 70116, United States",ChIJF_nVIhemIIYRokDd0QN2HFc,/biz/cane-and-table-new-orleans-2?osq=Restaurants,70116,0.117843030621226,4.8,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Saint John,29.9602606,-90.0597697,"1117 Decatur St, New Orleans, LA 70116, United States",ChIJc7iO662nIIYRmGQ4ohaOxdo,/biz/saint-john-new-orleans?osq=Restaurants,70116,0.163078442480831,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Zhang Bistro,29.9606926,-90.0595145,"1141 Decatur St, New Orleans, LA 70116, United States",ChIJazvNW3anIIYRc3iM-iXJCfw,/biz/zhang-bistro-new-orleans?osq=Restaurants,70116,0.103709274839384,4.8,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Royal Noodle Bar,29.9644419,-90.0591496,"1913 Royal St, New Orleans, LA 70116, United States",ChIJExCguxmmIIYR7r_EsdB-wnc,/biz/royal-noodle-bar-new-orleans?osq=Restaurants,70130,0.022151809869165,5,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Nonno's Cajun Cuisine and Pastries,29.965255,-90.0591496,"1940 Dauphine St, New Orleans, LA 70116, United States",ChIJ4YmxjRCnIIYRGvh6QSYV46g,/biz/nonno-s-cajun-cuisine-and-pastries-new-orleans?osq=Restaurants,70116,0.152268626526096,4.3,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
