Restaurant,Latitude,Longitude,Address,Place-ID,URL,ZIP,Avg. exposure,Stars,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attraction,Hotspot
Soregashi,34.0910449,-118.3381226,"6775 Santa Monica Blvd #3, Los Angeles, CA 90038, United States",ChIJJ68MkC6_woARkWO7q2f_Syk,/biz/soregashi-los-angeles?osq=Restaurants,90038,0.017132416,4.2,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
L'Antica Pizzeria Da Michele,34.0990608,-118.3373107,"1534 N McCadden Pl, Los Angeles, CA 90028, United States",ChIJm_JlplW_woARfUC7uDz1_OA,/biz/l-antica-pizzeria-da-michele-los-angeles-2?osq=Restaurants,90028,0.391092206333333,4.3,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Mr. Tempo Cantina,34.10119,-118.33675,"6714 Hollywood Blvd  Los Angeles, CA 90028  Hollywood",-,/biz/mr-tempo-cantina-los-angeles?osq=Restaurants,90028,0.089087946,4.1,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Hot Motha Clucker,34.1017749,-118.336055,"1708 N Las Palmas Ave, Hollywood, CA 90028, United States",ChIJd1o16e-_woARrDAojOvZTC4,/biz/hot-motha-clucker-los-angeles-2?osq=Restaurants,90028,0.097595277,4.2,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Musso & Frank Grill,34.1017472,-118.3353628,"6667 Hollywood Blvd, Hollywood, CA 90028, United States",ChIJaZ3OWSO_woARSF1VduqxGgY,/biz/musso-and-frank-grill-hollywood?osq=Restaurants,90028,0.123884461,4.2,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,1
Rao's Hollywood,34.0891941,-118.3329565,"1006 Seward St, Los Angeles, CA 90038, United States",ChIJ37HK_jK_woARZPdrDBqCh_4,/biz/raos-hollywood-los-angeles-2?osq=Restaurants,90038,0.064021792,4.2,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
Johnny's West Adams,34.0328063,-118.3329362,"4327 W Adams Blvd, Los Angeles, CA 90007, United States",ChIJd0pJVsu5woARnRPLsv5yy8o,/biz/johnnys-west-adams-los-angeles?osq=Restaurants,90018,0.0172621196666667,4.1,14335,27.9,14408,28,188,0.4,2765,5.4,89,0.2,2889,32.5,7.9,55275,0,1
Superba Food + Bread,34.0977501,-118.3326212,"6530 Sunset Blvd, Los Angeles, CA 90028, United States",ChIJa8iBzvq_woARBT8YLSK_h-s,/biz/superba-food-bread-los-angeles-3?osq=Restaurants,90028,0.147403836,4.4,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,1
Eat This Cafe,34.0908726,-118.3323571,"6547 Santa Monica Blvd, Los Angeles, CA 90038, United States",ChIJh_PYOTK_woAR0LMGbZguTfM,/biz/eat-this-cafe-los-angeles?osq=Restaurants,90038,0.156831496,4.3,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
Ka'teen,34.0996826,-118.3315953,"6516 Selma Ave, Los Angeles, CA 90028, United States",ChIJ5eGiqxq_woARw16RF2_1dVc,/biz/kateen-los-angeles-2?osq=Restaurants,90028,0.247243943333333,3.9,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,1
