Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Routier,/biz/routier-san-francisco?osq=Restaurants,94115,0.172371854666667,4.5,37.7879219,-122.4405873,"2801 California St, San Francisco, CA 94115, United States",ChIJv1wfmMiBhYARaDfRf4DApQ8,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
B on the Go,/biz/b-on-the-go-san-francisco-4?osq=Restaurants,94115,0.004235297,4,37.7882419,-122.4403094,"2794 California St, San Francisco, CA 94115, United States",ChIJK8MEaMmAhYAR5fIznr7qTo4,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Cracked & Battered - Marina,/biz/cracked-and-battered-marina-san-francisco?osq=Restaurants,94123,0.093874002,4.6,37.800489,-122.4401912,"2240 Chestnut St, San Francisco, CA 94123, United States",ChIJZ-jIkSeBhYAR3AKE4Bqnn4g,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
Emmita's Cafe,/biz/emmitas-cafe-san-francisco?osq=Restaurants,94115,0.0497444363333333,4.2,37.7845754,-122.4400886,"1635 Divisadero St #145, San Francisco, CA 94115, United States",ChIJJUukTtaBhYARZik0ZNiSNLU,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Nopalito,/biz/nopalito-san-francisco?osq=Restaurants,94117,0.183543841,3.8,37.7732851,-122.4389738,"306 Broderick St, San Francisco, CA 94117, United States",ChIJWdx6WK6AhYARchLwAKyG4-Y,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Brenda's Meat & Three,/biz/brendas-meat-and-three-san-francisco-3?osq=Restaurants,94115,0.151218733,4.2,37.7781721,-122.4387208,"919 Divisadero St, San Francisco, CA 94115, United States",ChIJBZ2nB7GAhYAR1BUmlCHczaw,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
MaMa Ji's,/biz/mama-jis-san-francisco-2?osq=Restaurants,94114,0.159260763333333,3.8,37.7607671,-122.4387173,"4416 18th St, San Francisco, CA 94114, United States",ChIJk5c5ZQR-j4ARhHCzKVyTxTc,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Rin's Thai Restaurant,/biz/rins-thai-restaurant-san-francisco?osq=Restaurants,94114,0.0171121043333333,3.8,37.7509339,-122.4386208,"4301 24th St, San Francisco, CA 94114, United States",ChIJK73BNgx-j4ARSNhgRHYD8WA,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
El Rancho Grande,/biz/el-rancho-grande-san-francisco?osq=Restaurants,94117,0.0126929816666667,4.2,37.777561,-122.4385212,"855 Divisadero St, San Francisco, CA 94117, United States",ChIJrQB-rbGAhYAR9UwY0I8pO0E,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Beretta,/biz/beretta-san-francisco?osq=Restaurants,94110,0.038495953,4,37.775804,-122.4382398,"661 Divisadero St, San Francisco, CA 94117, United States",ChIJIRCeTTqBhYARmMp8iZojBT0,35981,50.8,2576,3.6,713,1,10915,15.4,123,0.2,11577,72.1,5.1,143938,0,1
