Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Jack Holder's Restaurant & Bar,37.2685127,-121.9060821,"3153 Meridian Ave #20, San Jose, CA 95124, United States",ChIJqbNHr3k0joARDF_0tilf67M,/biz/jack-holders-restaurant-and-bar-san-jose-3?osq=Restaurants,3.9,95124,0,0.0084974506666666,30714,58.6,1052,2,165,0.3,13896,26.5,110,0.2,2992,61.4,4.1,165344,1
True Brew San Jose - Taphouse & Kitchen,37.3319575,-121.9055054,"787 The Alameda Ste 10, San Jose, CA 95126, United States",ChIJQ_5D6bjLj4AR9uu6PV4p-NU,/biz/true-brew-san-jose-taphouse-and-kitchen-san-jose-3?osq=Restaurants,3.9,95126,1,0.0802593653333333,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
Danbi Korean Restaurant,37.3559824,-121.9050897,"1092 N First St, San Jose, CA 95112, United States",ChIJd6oXrIHLj4ARwyyGw0nVEqk,/biz/danbi-korean-restaurant-san-jose?osq=Restaurants,4.3,95112,1,0.203335091666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Jojo's Hot Chicken,37.2408327,-121.9032908,"1587 Kooser Rd, San Jose, CA 95118, United States",ChIJQejZEhU1joARLeQBxAta5e4,/biz/jojo-s-hot-chicken-san-jose?osq=Restaurants,5,95118,0,0.0084808326666666,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,1
Smoking Pig BBQ,37.3588832,-121.9027679,"1144 N 4th St, San Jose, CA 95112, United States",ChIJeQ-ozuLKj4ARMQNfslZXl1c,/biz/smoking-pig-bbq-san-jose?osq=Restaurants,4.1,95112,1,0.153337265333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Palermo Italian Restaurant,37.3217475,-121.9022138,"791 Auzerais Ave, San Jose, CA 95126, United States",ChIJw40UG1bLj4ARpK_t0h8GWsI,/biz/palermo-italian-restaurant-san-jose-3?osq=Restaurants,3.9,95126,1,0.0344921923333333,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
Jackie's Place,37.3521773,-121.9020564,"840 N First St, San Jose, CA 95112, United States",ChIJ924cgmrNj4AR_zzWa-nJdVQ,/biz/jackies-place-san-jose?osq=Restaurants,4.4,95112,1,0.219659740666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Jake's of Willow Glen,37.3098925,-121.9015212,"1074 Lincoln Ave Unit A, San Jose, CA 95125, United States",ChIJUYyaKFYzjoARXWnU-1EOxTE,/biz/jakes-of-willow-glen-san-jose?osq=Restaurants,3.8,95125,1,0.008454357,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
The Table,37.3082046,-121.9012822,"1110 Willow St, San Jose, CA 95125, United States",ChIJF7uF3VczjoARsQacfJJdX-A,/biz/the-table-san-jose?osq=Restaurants,3.9,95125,1,0.954364325,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Hunan Taste Restaurant,37.3566569,-121.901241,"998 N 4th St, San Jose, CA 95112, United States",ChIJc3ZFopjNj4ARan2YFQrZBsU,/biz/hunan-taste-restaurant-san-jose?osq=Restaurants,4.1,95112,1,0.0715385556666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Lamella Tavern,37.3080799,-121.9011067,"1109 Lincoln Ave, San Jose, CA 95125, United States",ChIJC2tZmzwzjoAR2a0TjxQppFk,/biz/lamella-tavern-san-jose?osq=Restaurants,3.6,95125,1,0.0175104113333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
El Halal Amigos,37.3082085,-121.9006823,"1100 Lincoln Ave, San Jose, CA 95125, United States",ChIJaSl4wEG_j4ARQrNdeKVTYd4,/biz/el-halal-amigos-san-jose-2?osq=Restaurants,4.3,95125,1,0.136683564666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
El Halal Amigos,37.3082085,-121.9006823,"1100 Lincoln Ave, San Jose, CA 95125, United States",ChIJaSl4wEG_j4ARQrNdeKVTYd4,/biz/el-halal-amigos-san-jose-3?osq=Restaurants,4.3,94536,0,0.153390066666667,21739,29.9,2809,3.9,333,0.5,35559,48.9,491,0.7,7641,66.6,3.7,139636,1
Tarah Thai Kitchen,37.3073092,-121.9005729,"1163 Lincoln Ave, San Jose, CA 95125, United States",ChIJ384ou8kzjoARYjXNoO7R0yg,/biz/tarah-thai-kitchen-san-jose?osq=Restaurants,3.9,95125,1,0.0382338633333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Dolce Sicilia Cafe,37.3072973,-121.9005142,"1165 Lincoln Ave #110, San Jose, CA 95125, United States",ChIJ2VwlVT8zjoARxl8oTuw4MbM,/biz/dolce-sicilia-cafe-san-jose?osq=Restaurants,4.7,95125,1,0.0521096443333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Sushi Arashi,37.3069572,-121.900347,"1181 Lincoln Ave #3002, San Jose, CA 95125, United States",ChIJr14BIlgzjoARC2bcciIX55U,/biz/sushi-arashi-san-jose-2?osq=Restaurants,4.5,95125,1,0.0255270923333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Braise Willow Glen,37.306929,-121.9001784,"1185 Lincoln Ave, San Jose, CA 95125, United States",ChIJH-5KIlgzjoAR4Hdd42vHqh0,/biz/braise-willow-glen-san-jose?osq=Restaurants,4,95125,1,0.172498259333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Yuki Sushi,37.3074395,-121.9001433,"1140 Lincoln Ave #8, San Jose, CA 95125, United States",ChIJV6ZAiVczjoARQQWpjuEKm50,/biz/yuki-sushi-san-jose?osq=Restaurants,3.8,95125,1,0.038850786,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Los Dubons Restaurant,37.3070961,-121.899688,"1182 Lincoln Ave, San Jose, CA 95125, United States",ChIJDbBn8e4zjoAR6koED2SNpaw,/biz/los-dubons-restaurant-san-jose-2?osq=Restaurants,4.7,95125,1,0.101669890333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Black Sheep Brasserie,37.3067984,-121.8996789,"1202 Lincoln Ave STE 30, San Jose, CA 95125, United States",ChIJWdzTL1gzjoARzW9cM0zWOaQ,/biz/black-sheep-brasserie-san-jose?osq=Restaurants,3.9,95125,1,0.170748124,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Sweet Mango,37.3088496,-121.8996134,"1040 Willow St, San Jose, CA 95125, United States",ChIJI_q0vFczjoAR9aqyx2V92qA,/biz/sweet-mango-san-jose?osq=Restaurants,3.9,95125,1,0.166519429,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Het Say,37.3607536,-121.8991866,"326 Commercial St, San Jose, CA 95112, United States",ChIJGwqJAsTNj4ARcQiAlCov_Ps,/biz/het-say-san-jose?osq=Restaurants,3.8,95122,1,0.066865181,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Mudai Ethiopian Restaurant,37.3258587,-121.8987945,"503 W San Carlos St, San Jose, CA 95126, United States",ChIJD19wtDHNj4ARsjNXf_k8hG8,/biz/mudai-ethiopian-restaurant-san-jose?osq=Restaurants,4.2,95126,1,0.0129987203333333,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
