Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Astor Restaurant,27.7971049,-97.4649842,"5533 Leopard St, Corpus Christi, TX 78408, United States",ChIJkbafY8FgaIYRL3nGCbVO61U,/biz/astor-restaurant-corpus-christi?osq=Restaurants,78408,0.117813418,3.7,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Recio's Smokehouse,27.7547111,-97.4631345,"5526 Old Brownsville Rd, Corpus Christi, TX 78417, United States",ChIJ34W3IZBfaIYR70sQ6gCzEjs,/biz/recios-smokehouse-corpus-christi-2?osq=Restaurants,78415,0.10388098,2.7,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
The Burger Den,27.8029554,-97.4523025,"5165 I-37, Corpus Christi, TX 78408, United States",ChIJxSbXoilhaIYRUVhR4MLLY-I,/biz/the-burger-den-corpus-christi-2?osq=Restaurants,78411,0.051535725,3.7,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
The Bar-B-Q Man Restaurant,27.8026596,-97.4491095,"4931 IH-37 South, 4931 Ih 37 Access, Corpus Christi, TX 78408, United States",ChIJy_710qRgaIYR38whJA1Yo8c,/biz/the-bar-b-q-man-restaurant-corpus-christi-2?osq=Restaurants,78408,0.092301874,3.8,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Snapka's Drive Inn,27.797662,-97.4483758,"4760 Leopard St, Corpus Christi, TX 78408, United States",ChIJ7cnqKKNgaIYRCXgkxem4pjs,/biz/snapkas-drive-inn-corpus-christi?osq=Restaurants,78408,0.017005944,1.7,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Snapka's Drive Inn,27.797662,-97.4483758,"4760 Leopard St, Corpus Christi, TX 78408, United States",ChIJ7cnqKKNgaIYRCXgkxem4pjs,/biz/snapkas-drive-inn-corpus-christi-2?osq=Restaurants,78411,0.125707779,2.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
La Mala Taquitos,27.7606101,-97.4483725,"749 Horne Rd, Corpus Christi, TX 78416, United States",ChIJq6rPsHpgaIYRd_EfuNQv7k8,/biz/la-mala-taquitos-corpus-christi?osq=Restaurants,78416,0.036787316,4.3,25,9291,61.8,0,1661,11.1,1,38,0.3,0,41,0.3,0,0,0,0,124,5.9,0,9.9,1,40981,0,80,0,0
Birrieria Y Mariscos El General,27.7174798,-97.4379892,"6110 Ayers St, Corpus Christi, TX 78415, United States",ChIJ6b5kdppfaIYRMPtUFOuVXmM,/biz/birrieria-y-mariscos-el-general-corpus-christi?osq=Restaurants,78415,0.165165056,3.6,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Bubba's 33,27.739206,-97.4365173,"1921 S Padre Island Dr, Corpus Christi, TX 78416, United States",ChIJifP08-JfaIYRO9U7nVlIp8Q,/biz/bubbas-33-corpus-christi?osq=Restaurants,78416,0.14800418,4.3,25,9291,61.8,0,1661,11.1,1,38,0.3,0,41,0.3,0,0,0,0,124,5.9,0,9.9,1,40981,0,80,0,0
Hi-Ho Drive Inn,27.7813017,-97.4359377,"3945 Baldwin Blvd, Corpus Christi, TX 78405, United States",ChIJg1TfPYhfaIYRFGD_EPJ0H5g,/biz/hi-ho-drive-inn-corpus-christi-2?osq=Restaurants,78405,0.068843403,4.5,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Texas Roadhouse,27.737775,-97.434435,"2029 S Padre Island Dr, Corpus Christi, TX 78416, United States",ChIJU9K9OeNfaIYRx_BtAm2wqQE,/biz/texas-roadhouse-corpus-christi-4?osq=Restaurants,78416,0.10021373,3.4,25,9291,61.8,0,1661,11.1,1,38,0.3,0,41,0.3,0,0,0,0,124,5.9,0,9.9,1,40981,0,80,0,0
Hi-Ho Restaurant,27.7762083,-97.4322869,"3703 Morgan Ave, Corpus Christi, TX 78405, United States",ChIJL-2ccixeaIYRo1sjbi8u5gU,/biz/hi-ho-restaurant-corpus-christi?osq=Restaurants,78405,0.131388718,3.8,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Hot Cocks Chicken,27.7384180658981,-97.4308493502466,"Corpus Christi, TX 78413, United States",ChIJvylyCw1TUkYRMf4BbfJBDw0,/biz/hot-cocks-chicken-corpus-christi?osq=Restaurants,78413,0.259223869,4.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Hermanos Solis Mexican Restaurant,27.7788968,-97.4306038,"3514 Baldwin Blvd, Corpus Christi, TX 78405, United States",ChIJnySlajJeaIYREnKqPBBTnhg,/biz/hermanos-solis-mexican-restaurant-corpus-christi-2?osq=Restaurants,78405,0.087040488,3.6,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Solis Mexican Restaurant,27.7788968,-97.4306038,"3514 Baldwin Blvd, Corpus Christi, TX 78405, United States",ChIJnySlajJeaIYREnKqPBBTnhg,/biz/solis-mexican-restaurant-corpus-christi?osq=Restaurants,78408,0.125491221,4.6,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
King Seafood,27.777171,-97.428388,"3315 Baldwin Blvd, Corpus Christi, TX 78405, United States",ChIJMTi-6C1eaIYR_X2qrdWpM5k,/biz/king-seafood-corpus-christi?osq=Restaurants,78405,0.139725373,4.7,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Muelle 37 - Corpus Christi,27.7374379,-97.425347,"4918 Ayers St Suite 120, Corpus Christi, TX 78415, United States",ChIJDVYGZt9faIYRoPZdgPdqPtY,/biz/muelle-37-corpus-christi-corpus-christi?osq=Restaurants,78415,0.12367396,4.3,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Rosie's Tamales,27.7390566,-97.4248046,"4838 Ayers St, Corpus Christi, TX 78415, United States",ChIJ3-ecte9faIYRK_ZJEH71Ezo,/biz/rosies-tamales-corpus-christi-4?osq=Restaurants,78412,0.004218946,4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Smokey Rooster Bar And Grill,27.71181764,-97.42278857,"6122 Kostoryz Rd  Corpus Christi, TX 78415",-,/biz/smokey-rooster-bar-and-grill-corpus-christi?osq=Restaurants,78415,0.158251023,4,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Alex's Drive Thru Bar & Grill,27.7964358,-97.4218439,"2815 Leopard St, Corpus Christi, TX 78408, United States",ChIJb-tn_RVeaIYR6sAXV63I1HY,/biz/alexs-drive-thru-bar-and-grill-corpus-christi?osq=Restaurants,78411,0.105648161,3.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Frank's Spaghetti House,27.7969601,-97.4208529,"2724 Leopard St, Corpus Christi, TX 78408, United States",ChIJ03GK6xVeaIYRHL3RhYiAR_k,/biz/franks-spaghetti-house-corpus-christi?osq=Restaurants,78408,0.154472277,4.6,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Taqueria Jalisco,27.7824923,-97.4201432,"902 S Port Ave, Corpus Christi, TX 78405, United States",ChIJi1QJFDdeaIYRQiS9y3W4XTI,/biz/taqueria-jalisco-corpus-christi-4?osq=Restaurants,78411,0.105806706,4.1,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Sonny's Barbacoa & Restaurant,27.7530592,-97.4196982,"4066 S Port Ave, Corpus Christi, TX 78415, United States",ChIJIcHPGsFfaIYRmLc5G6TX6QM,/biz/sonnys-barbacoa-and-restaurant-corpus-christi?osq=Restaurants,78415,0.113758489,2.9,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Taqueria Express & Seafood 2,27.7472674,-97.4196916,"4346 Ayers St, Corpus Christi, TX 78415, United States",ChIJv1hYWupfaIYRTPm-hpyHib8,/biz/taqueria-express-and-seafood-2-corpus-christi?osq=Restaurants,78412,0.123957586,3.4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Kowabunga Grille,27.7966141,-97.4186543,"Corpus Christi, TX 78408, United States",ChIJ49_kehVeaIYRGvhdYIYJJvE,/biz/kowabunga-grille-corpus-christi?osq=Restaurants,78408,0.127984095,2.9,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Kuzina Lebanese Grill,27.700577,-97.4156802,"3801 Saratoga Blvd STE 113, Corpus Christi, TX 78415, United States",ChIJSQabcBX1aIYRPyHhjubYBvI,/biz/kuzina-lebanese-grill-corpus-christi-20?osq=Restaurants,78415,0.13845602,3.9,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Vick's Famous Hamburgers,27.7958965,-97.4155487,"626 N Port Ave, Corpus Christi, TX 78408, United States",ChIJ2xnogGpeaIYRrxSSXjDS9K8,/biz/vicks-famous-hamburgers-corpus-christi-3?osq=Restaurants,78414,0.124448396,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Pavani Express,27.7238761,-97.4153312,"3206 Tiger Ln, Corpus Christi, TX 78415, United States",ChIJFe837v71aIYRQLM3dvOtUAc,/biz/pavani-express-corpus-christi-2?osq=Restaurants,78415,0.131010133,2.8,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Enrique's Uptown,27.7257415,-97.4143422,"5230 Kostoryz Rd, Corpus Christi, TX 78415, United States",ChIJT_2vLWD1aIYR1ftG5RwQI9k,/biz/enriques-uptown-corpus-christi?osq=Restaurants,78401,0.05180436,2.9,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Hornsbys Seafood and Mo,27.787083,-97.413655,"2202 Agnes St, Corpus Christi, TX 78405, United States",ChIJq3xwU0ZeaIYRC8PNQ-Cc8I0,/biz/hornsbys-seafood-and-mo-corpus-christi?osq=Restaurants,78405,0.104856338,3.5,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Chacho's Tacos,27.7572691,-97.4136311,"3700 Ayers St, Corpus Christi, TX 78415, United States",ChIJtcs0HLlfaIYR2BSrli2G2M0,/biz/chachos-tacos-corpus-christi-3?osq=Restaurants,78415,0.136080476,3,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Fiesta Tacos,27.7777915,-97.4134962,"2201 Morgan Ave, Corpus Christi, TX 78405, United States",ChIJF18JzEteaIYRiJzskjWE2xc,/biz/fiesta-tacos-corpus-christi?osq=Restaurants,78405,0.1203459,3.5,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
Don Jorge Taqueria,27.76081674,-97.41255314,"3221 Ayers St  Corpus Christi, TX 78415",-,/biz/don-jorge-taqueria-corpus-christi?osq=Restaurants,78415,0.021339681,4.1,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Big Bowl Korean BBQ,27.6995953,-97.4110293,"6410 Weber Rd #19, Corpus Christi, TX 78413, United States",ChIJI1zIdxT1aIYRME68nIHDsv8,/biz/big-bowl-korean-bbq-corpus-christi?osq=Restaurants,78413,0.209874216,4.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Krab Kingz,27.7000853,-97.4109686,"6410 Weber Rd #5, Corpus Christi, TX 78413, United States",ChIJ8-447nX1aIYRRS75BsNTaOw,/biz/krab-kingz-corpus-christi?osq=Restaurants,78413,0.066632287,4.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Royal Krabz,27.7000853,-97.4109686,"6410 Weber Rd #5, Corpus Christi, TX 78413, United States",ChIJ8-447nX1aIYRRS75BsNTaOw,/biz/royal-krabz-corpus-christi?osq=Restaurants,78413,0.087614001,4.4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
LEI KITCHEN,27.6980655,-97.4107251,"4037 Saratoga Blvd #D, Corpus Christi, TX 78413, United States",ChIJ9T8VQiH1aIYROPcvfPdnVn4,/biz/lei-kitchen-corpus-christi?osq=Restaurants,78413,0.16711893,4.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Eddie's Restaurant,27.7326064,-97.4100418,"4810 Kostoryz Rd, Corpus Christi, TX 78415, United States",ChIJQZWltY5faIYRCw86WjL44Os,/biz/eddies-restaurant-corpus-christi?osq=Restaurants,78415,0.13102827,3.4,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Pho D'Noodle House,27.7261167,-97.409251,"3403 S Padre Island Dr, Corpus Christi, TX 78415, United States",ChIJy0SpKO9faIYRzzUDBIxRVNY,/biz/pho-d-noodle-house-corpus-christi?osq=Restaurants,78415,0.124374758,1.7,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
El Potro,27.7064312,-97.4086745,"6085 Weber Rd, Corpus Christi, TX 78413, United States",ChIJf-OKVmz1aIYRNWDGpx7KO6g,/biz/el-potro-corpus-christi?osq=Restaurants,78413,0.042293374,3.5,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Wienerschnitzel,27.7673688,-97.4082889,"2401 Ayers St, Corpus Christi, TX 78404, United States",ChIJb8VdgLFfaIYR6f389FLuJ0I,/biz/wienerschnitzel-corpus-christi-6?osq=Restaurants,78412,0.117960652,3.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
La Ribera,27.7787641,-97.4073786,"1602 Morgan Ave, Corpus Christi, TX 78404, United States",ChIJ26qH201eaIYR3QsJChNA8So,/biz/la-ribera-corpus-christi?osq=Restaurants,78404,0.108908878,4.1,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Agave Jalisco Restaurant,27.7700894,-97.4065721,"2001 Ayers St #3059, Corpus Christi, TX 78404, United States",ChIJnXh4ZLJfaIYRkAFJWrULaBo,/biz/agave-jalisco-restaurant-corpus-christi?osq=Restaurants,78404,0.005062038,4.8,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Pho Life,27.7097745,-97.4065253,"5865 Weber Rd, Corpus Christi, TX 78413, United States",ChIJDe4LHW71aIYRKm16l6A8ZVI,/biz/pho-life-corpus-christi?osq=Restaurants,78413,0.138131562,4.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Ali's Cafe,27.7493933,-97.4040506,"2929 Norton St, Corpus Christi, TX 78415, United States",ChIJh_FScJhfaIYRaWuflNjH38U,/biz/alis-cafe-corpus-christi-2?osq=Restaurants,78415,0.078977594,4.6,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Golden Crown Inn,27.7612761,-97.4028585,"2739 S Staples St, Corpus Christi, TX 78404, United States",ChIJqwYrgqVfaIYRj7RSL7lVah0,/biz/golden-crown-inn-corpus-christi?osq=Restaurants,78404,0.118509103,3.6,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Golden Crown Chinese Restaurant,27.7612761,-97.4028585,"2739 S Staples St, Corpus Christi, TX 78404, United States",ChIJqwYrgqVfaIYRj7RSL7lVah0,/biz/golden-crown-chinese-restaurant-corpus-christi?osq=Restaurants,78413,0.114362768,3.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Taqueria Garibaldi,27.7917832,-97.4028491,"200 N Staples St #2723, Corpus Christi, TX 78401, United States",ChIJr1CXY1xeaIYRqw-sgi8FsOQ,/biz/taqueria-garibaldi-corpus-christi?osq=Restaurants,78401,0.03835589,4,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
El Muelle De San Blas,27.7646576,-97.402654,"920 Louisiana Ave, Corpus Christi, TX 78404, United States",ChIJvz4apy5faIYR3llCypNeARg,/biz/el-muelle-de-san-blas-corpus-christi?osq=Restaurants,78404,0.138360372,2.2,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Price's Chef,27.7727123,-97.4005067,"1800 S Alameda St, Corpus Christi, TX 78404, United States",ChIJ7SDzpqxfaIYR1vziWHMkrzs,/biz/prices-chef-corpus-christi?osq=Restaurants,78404,0.132789602,4.3,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Luciano's Italian Restaurant,27.7719308,-97.4004867,"1821 S Alameda St, Corpus Christi, TX 78404, United States",ChIJBaLVmKxfaIYRS7iI9S2ou7Y,/biz/lucianos-italian-restaurant-corpus-christi?osq=Restaurants,78404,0.152861848,4.8,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Hester's Cafe & Coffee Bar - Six Points,27.7730691,-97.4004023,"1714 S Alameda St, Corpus Christi, TX 78404, United States",ChIJnXrVr6xfaIYRId8vtRKUGeg,/biz/hesters-cafe-and-coffee-bar-six-points-corpus-christi?osq=Restaurants,78404,0.181213892,4.5,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Shoreline Sandwich Company,27.7949362,-97.4003847,"901 Leopard St, Corpus Christi, TX 78401, United States",ChIJRyd74f1faIYRtb3jRMNM24o,/biz/shoreline-sandwich-company-corpus-christi-2?osq=Restaurants,78401,0.130537785,2.7,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Shoreline Sandwich Company,27.7949362,-97.4003847,"901 Leopard St, Corpus Christi, TX 78401, United States",ChIJRyd74f1faIYRtb3jRMNM24o,/biz/shoreline-sandwich-company-corpus-christi-3?osq=Restaurants,78411,0.119357885,4.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
South Texas Ice House,27.6913977,-97.3997275,"D5, 6601 Everhart Rd, Corpus Christi, TX 78413, United States",ChIJ2dOHDAb1aIYRlwGYck-P4_U,/biz/south-texas-ice-house-corpus-christi?osq=Restaurants,78413,0.070717663,4.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
The Gumbo Seafood,27.7195605418198,-97.3994207618082,"5212 Weber Rd, Corpus Christi, TX 78411, United States",ChIJhQEVCF0laIYRWk05RkM1tko,/biz/the-gumbo-seafood-corpus-christi?osq=Restaurants,78411,0.093727881,2.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Noodles & Dumplings,27.6918371,-97.3992103,"6505 Everhart Rd, Corpus Christi, TX 78413, United States",ChIJF-FtAXj1aIYR734iNdEd9ag,/biz/noodles-and-dumplings-corpus-christi-2?osq=Restaurants,78413,0.347359561,4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Noodles & dumplings,27.6918371,-97.3992103,"6505 Everhart Rd, Corpus Christi, TX 78413, United States",ChIJF-FtAXj1aIYR734iNdEd9ag,/biz/noodles-and-dumplings-corpus-christi?osq=Restaurants,78413,0.125856446,5,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Tai Pai Cafe,27.7965764,-97.3984336,"711 N Carancahua St, Corpus Christi, TX 78401, United States",ChIJCxqy1F9eaIYRNR3dK1VuEfE,/biz/tai-pai-cafe-corpus-christi-2?osq=Restaurants,78401,0.114896977,3.9,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,1
Asian Cafe,27.7965764,-97.3984336,"711 N Carancahua St, Corpus Christi, TX 78401, United States",ChIJCxqy1F9eaIYRNR3dK1VuEfE,/biz/asian-cafe-corpus-christi-2?osq=Restaurants,78414,0.016954348,4.5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,1
Brewster Street Ice House,27.8074769,-97.3984013,"1724 N Tancahua St, Corpus Christi, TX 78401, United States",ChIJ-UDiOGNeaIYRmB5lBWZakyw,/biz/brewster-street-ice-house-corpus-christi?osq=Restaurants,78401,0.116084453,2.6,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Brewster Street Ice House,27.8074769,-97.3984013,"1724 N Tancahua St, Corpus Christi, TX 78401, United States",ChIJ-UDiOGNeaIYRmB5lBWZakyw,/biz/brewster-street-ice-house-corpus-christi-2?osq=Restaurants,78411,0.132780213,2.3,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Czech-Mex Bakery & Cafe,27.7964236,-97.3979694,"711 N Carancahua St, Corpus Christi, TX 78401, United States",ChIJW5hMKV5eaIYRLY4lK2PYr-8,/biz/czech-mex-bakery-and-cafe-corpus-christi-2?osq=Restaurants,78401,0.137301031,3.3,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,1
Hoegemeyer's Barbeque Barn,27.801715,-97.397818,"711 Concrete St, Corpus Christi, TX 78401, United States",ChIJA1V5c2FeaIYRO94iTw5p-f8,/biz/hoegemeyers-barbeque-barn-corpus-christi?osq=Restaurants,78401,0.151799419,3.5,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Hawaii Poke & Ramen,27.7222224,-97.3977841,"4002 S Padre Island Dr #108, Corpus Christi, TX 78411, United States",ChIJoyx4crD1aIYRZ41MKfvSgas,/biz/hawaii-poke-and-ramen-corpus-christi-2?osq=Restaurants,78411,0.125313286,3.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
POETS Family Restaurant,27.6915655,-97.3976583,"4825 Saratoga Blvd, Corpus Christi, TX 78413, United States",ChIJ_____xv1aIYRKvIGlHNzAsM,/biz/poets-family-restaurant-corpus-christi?osq=Restaurants,78413,0.135299496,3.4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Freddy's Frozen Custard & Steakburgers,27.7218047,-97.3974094,"4018 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJyUNR2H71aIYRZoTvuvIM_6s,/biz/freddys-frozen-custard-and-steakburgers-corpus-christi?osq=Restaurants,78411,0.123977641,3.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Papi Chulo's,27.6916774,-97.3971067,"4861 Saratoga Blvd, Corpus Christi, TX 78413, United States",ChIJed3FzQf1aIYRp4PTfZbHsck,/biz/papi-chulos-corpus-christi?osq=Restaurants,78413,0.012804967,3.9,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
The Wilson,27.7956304,-97.3969691,"606 N Carancahua St, Corpus Christi, TX 78401, United States",ChIJOa8DuF9eaIYRDgpFkVk7IhE,/biz/the-wilson-corpus-christi?osq=Restaurants,78411,0.149580936,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Laredo Taco Company,27.7787913,-97.3969203,"1303 3rd St, Corpus Christi, TX 78404, United States",ChIJdZATSkVfaIYRzdRVunjbFeQ,/biz/laredo-taco-company-corpus-christi-2?osq=Restaurants,78412,0.025160781,3.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Laredo Taco Company,27.7787913,-97.3969203,"1303 3rd St, Corpus Christi, TX 78404, United States",ChIJdZATSkVfaIYRzdRVunjbFeQ,/biz/laredo-taco-company-corpus-christi-12?osq=Restaurants,78413,0.018414611,3.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Portis Kountry Kitchen,27.797011,-97.396738,"615 N Upper Broadway # B, Corpus Christi, TX 78401, United States",ChIJIS9w3l9eaIYRJ2AP3IJBoNM,/biz/portis-kountry-kitchen-corpus-christi-2?osq=Restaurants,78401,0.245964906,4.7,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,1
