Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Kyoto Sushi & Seafood,27.6865058,-97.3850104,"5506 Saratoga Blvd, Corpus Christi, TX 78413, United States",ChIJq2RypCf1aIYRKHumUIm0jAk,/biz/kyoto-sushi-and-seafood-corpus-christi?osq=Restaurants,78413,0.130195764,4.4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Wallbangers Gourmet Hamburgers,27.6833839,-97.3844471,"6542 S Staples St, Corpus Christi, TX 78413, United States",ChIJfUHZZmJfaIYRPx7OlLkYYeE,/biz/wallbangers-gourmet-hamburgers-corpus-christi-3?osq=Restaurants,78411,0.195797886,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
The Way Inn,27.7633983,-97.3839387,"3115 Ocean Dr, Corpus Christi, TX 78404, United States",ChIJ6fX_Dh9faIYRPCDXkInadsA,/biz/the-way-inn-corpus-christi?osq=Restaurants,78404,0.166344871,4,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Charleys Cheesesteaks and Wings,27.6841672,-97.3832255,"5625 Saratoga Blvd Suite 105, Corpus Christi, TX 78414, United States",ChIJKeQT0sL1aIYRCwxCsBruZEw,/biz/charleys-cheesesteaks-corpus-christi?osq=Restaurants,78414,0.102747251,4.5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Zambra Fusion Cafe,27.6840229,-97.3831016,"5625 Saratoga Blvd SUITE 117, Corpus Christi, TX 78414, United States",ChIJOTHxu3b1aIYR4J-Rv09dihs,/biz/zambra-fusion-cafe-corpus-christi-4?osq=Restaurants,78414,0.118695215,4.5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Taylor Center Deli,27.7473636,-97.3830297,"3636 S Alameda St, Corpus Christi, TX 78411, United States",ChIJcUwflG1faIYRM4J6bmySM80,/biz/taylor-center-deli-corpus-christi?osq=Restaurants,78411,0.132409439,2.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Tuk Tuk Thai Restaurant,27.6608615,-97.3830112,"6314 Yorktown Blvd #201, Corpus Christi, TX 78414, United States",ChIJFyaij5D1aIYRpWr1zIGV-Gg,/biz/tuk-tuk-thai-restaurant-corpus-christi?osq=Restaurants,78414,0.054487212,4.2,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Tuk Tuk Thai Restaurant,27.6608615,-97.3830112,"6314 Yorktown Blvd #201, Corpus Christi, TX 78414, United States",ChIJFyaij5D1aIYRpWr1zIGV-Gg,/biz/tuk-tuk-thai-cuisine-corpus-christi?osq=Restaurants,78414,0.075578866,4.8,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Taco Palenque Saratoga Blvd,27.6846449,-97.3828612,"5617 Saratoga Blvd, Corpus Christi, TX 78414, United States",ChIJiwcqMib1aIYRXjICsiWjonM,/biz/taco-palenque-saratoga-blvd-corpus-christi-2?osq=Restaurants,78414,0.107080614,3.8,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Surfing Crab,27.6867333,-97.3826196,"6418 S Staples St #124, Corpus Christi, TX 78413, United States",ChIJj3kF91b1aIYRDELeFJcOq5w,/biz/surfing-crab-corpus-christi?osq=Restaurants,78411,0.159448508,3.6,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
