Name_x,URL,ZIP,Count,AverageExposure,Stars,Latitude,Longitude,Address,PlaceID,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Boqueria - Chicago,/biz/boqueria-chicago-chicago?osq=Restaurants,60607,198,0.139617203,4.2,41.8866072,-87.6478944,"807 W Fulton Market, Chicago, IL 60607, United States",ChIJfxX6KZItDogRhRmRbe58p-g,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Tamashii Ramen,/biz/tamashii-ramen-chicago?osq=Restaurants,60607,198,0.039742186,4.6,41.8781743,-87.6478044,"810 W Jackson Blvd, Chicago, IL 60607, United States",ChIJr2WiS7otDogRJ4Lmj-vb95w,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,0
Au Cheval,/biz/au-cheval-chicago?osq=Restaurants,60607,198,0.199709,4.4,41.8846241,-87.6475954,"800 W Randolph St, Chicago, IL 60607, United States",ChIJ78NyRsUsDogR6AqyYoPrts4,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
CityBird,/biz/citybird-chicago?osq=Restaurants,60661,100,0.100380806,5,41.8797412,-87.6475537,"120 S Halsted St, Chicago, IL 60661, United States",ChIJxZSMu3gtDogRvsENSLjF0y8,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,0
Greek Islands Restaurant,/biz/greek-islands-restaurant-chicago?osq=Restaurants,60661,100,0.013275468,4.2,41.8790063,-87.6475439,"200 S Halsted St, Chicago, IL 60661, United States",ChIJffLJO8MsDogRLv-ZPBnvROI,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,0
Sparks Cafe And Restaurant,/biz/sparks-cafe-and-restaurant-chicago?osq=Restaurants,60613,126,0.155009562,4.9,41.9601555,-87.6473919,"4250 N Marine Dr, Chicago, IL 60613, United States",ChIJJcpUuerTD4gRfISrt6tKNXE,41222,77.4,1,3146,5.9,0,160,0.3,0,4651,8.7,1,7,0,0,14545,86.4,1,4.1,1,88267,1,1,0
Ghareeb Nawaz,/biz/ghareeb-nawaz-chicago-2?osq=Restaurants,60614,269,0.135056543,5,41.8665953,-87.6473115,"807 W Roosevelt Rd, Chicago, IL 60608, United States",ChIJQ5WH6-8sDogRiOSiAaMLbus,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Pleasant House Pub,/biz/pleasant-house-pub-chicago-3?osq=Restaurants,60608,148,0.155300647,4.4,41.8534956,-87.6462925,"2119 S Halsted St, Chicago, IL 60608, United States",ChIJMe6pU1gsDogRVi7P2WTpr5A,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,7.5,1,98457,1,1,0
Crab King Cajun Boil & Bar - Chicago,/biz/crab-king-cajun-boil-and-bar-chicago-chicago?osq=Restaurants,60657,233,0.089576605,4.6,41.9446762,-87.6454973,"3443 N Broadway, Chicago, IL 60657, United States",ChIJy6P6kYjTD4gRblvF7lFhHi8,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Kim's Korean Cuisine and Sushi,/biz/kims-korean-cuisine-and-sushi-chicago?osq=Restaurants,60657,233,0.004438973,4.8,41.9438963,-87.6454327,"3422 N Broadway, Chicago, IL 60657, United States",ChIJFQVh3ivTD4gRM91cFnueCk8,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Oriole,/biz/oriole-chicago?osq=Restaurants,60661,100,0.123896266,4.8,41.8861692,-87.6450939,"661 W Walnut St, Chicago, IL 60661, United States",ChIJ4_ovZs8sDogRyw3X3QCiI-Y,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,1
Aikana Chicago,/biz/aikana-chicago-chicago?osq=Restaurants,60661,100,0.026504567,4,41.8846414,-87.6449306,"652 W Randolph St, Chicago, IL 60661, United States",ChIJQQWcF_EtDogRlxpLNLZ543k,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,1
SGD Dubu So Gong Dong Tofu & Korean BBQ,/biz/sgd-dubu-so-gong-dong-tofu-and-korean-bbq-chicago?osq=Restaurants,60661,100,0.071141913,3.8,41.8778208,-87.6448765,"H Mart Food Court, 711 W Jackson Blvd, Chicago, IL 60661, United States",ChIJQUB-SMIsDogRy1H40xkhLw4,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,0
Perilla Korean American Fare,/biz/perilla-korean-american-fare-chicago-4?osq=Restaurants,60654,156,0.156471642,4.3,41.889418,-87.6445196,"401 N Milwaukee Ave, Chicago, IL 60654, United States",ChIJO6CFPTQtDogRGbxg4_j8wDo,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Crisp,/biz/crisp-chicago?osq=Restaurants,60657,233,0.05605556,4.3,41.9361111,-87.6444389,"2940 N Broadway, Chicago, IL 60657, United States",ChIJx5g_QqfTD4gR5tBjUdrbZxY,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Musashiya Ramen,/biz/musashiya-ramen-chicago?osq=Restaurants,60657,233,0.004384784,4.1,41.9360622,-87.6443992,"2938 N Broadway, Chicago, IL 60657, United States",ChIJX_tl4d7TD4gRQFApUFw8uDo,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
