Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Wild Ink,40.7540831539845,-74.000090434319,"500 W 33rd St Fl 5, New York, NY 10001, United States",ChIJ6bHGKdjIw4kRdcZSgK7p_SE,/biz/wild-ink-new-york?osq=Restaurants,10001,0.137061055,4,10,16963,62.9,1,2117,7.9,0,40,0.1,0,4527,16.8,1,50,0.2,1,6584,88.1,1,4.1,1,101409,1,1,0
La Lanterna Di Vittorio,40.7306651,-74.0000496,"129 MacDougal St, New York, NY 10012, United States",ChIJPxCEeZFZwokRzk5UghlXZWU,/biz/la-lanterna-di-vittorio-new-york?osq=Restaurants,10012,0.056397198,4.2,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Olio e Pi%C3%B9,40.73422761,-73.99993893,"3 Greenwich Ave  New York, NY 10014  Christopher St & 10th St",-,/biz/olio-e-pi%C3%B9-new-york-7?osq=Restaurants,10014,0.421903572,4.4,17,25507,85.6,1,539,1.8,0,27,0.1,0,1377,4.6,0,0,0,0,8297,97.2,1,7.4,1,136559,1,1,0
Breakroom,40.7166726,-73.9996701,"83 Baxter St, New York, NY 10013, United States",ChIJrd51M75bwokRDNRpZGHTYz8,/biz/breakroom-new-york?osq=Restaurants,10013,0.08842818,4,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
The Tyger,40.718902,-73.999442,"1 Howard St, New York, NY 10013, United States",ChIJ2fEjn-RZwokRe9eppEiXc4E,/biz/the-tyger-new-york-2?osq=Restaurants,10013,0.153355443,3.9,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Cremini's - Aperitivo & Kitchen,40.6749596,-73.9992896,"521 Court St, Brooklyn, NY 11231, United States",ChIJc752HKFbwokRACCC8-zc3lg,/biz/creminis-aperitivo-and-kitchen-brooklyn?osq=Restaurants,11231,0.132711779,4.8,3,26885,66.7,1,5324,13.2,0,183,0.5,0,2029,5,0,653,1.6,1,5120,77,1,7.9,1,121638,1,0,0
Uncle Lou,40.71623,-73.9992504,"73 Mulberry St, New York, NY 10013, United States",ChIJSRT5b9ZbwokRYilWRG4jYaY,/biz/uncle-lou-new-york-3?osq=Restaurants,10013,0.167375803,4.1,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Red Feather,40.7297613,-73.9989463,"82 W 3rd St, New York, NY 10012, United States",ChIJ49XkKM1ZwokRIkFPQKles_Q,/biz/red-feather-new-york?osq=Restaurants,10012,0.127286444,4.8,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Noodle Village,40.7141401,-73.998918,"13 Mott St, New York, NY 10013, United States",ChIJk31a6yZawokRCP9vIx0Us18,/biz/noodle-village-new-york-7?osq=Restaurants,10013,0.130580054,3.9,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Shanghai 21,40.7144645,-73.9988929,"21 Mott St, New York, NY 10013, United States",ChIJTVG07iZawokRq9rPs7ib8bY,/biz/shanghai-21-new-york-2?osq=Restaurants,10013,0.133855521,4.1,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Clover Hill,40.6931638,-73.9987045,"20 Columbia Pl, Brooklyn, NY 11201, United States",ChIJHzZ2mzxbwokR3LxA89MHy78,/biz/clover-hill-brooklyn?osq=Restaurants,11201,0.145453611,4.7,48,42126,61.3,1,8999,13.1,0,394,0.6,1,9532,13.9,0,26,0,0,13971,86.4,1,5.9,1,148282,1,0,0
Balthazar,40.722668,-73.9982298,"80 Spring St, New York, NY 10012, United States",ChIJt7fMLIlZwokRCRtM9bNDg78,/biz/balthazar-new-york-2?osq=Restaurants,10012,0.158347376,3.9,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
TADA Korean Fried Chicken,40.7156513,-73.9981356,"70 Bayard St, New York, NY 10013, United States",ChIJr4MYTo5bwokR8HkbD9k_0x0,/biz/tada-korean-fried-chicken-new-york?osq=Restaurants,10013,0.142343129,3.9,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Alta,40.7344068,-73.9981153,"64 W 10th St, New York, NY 10011, United States",ChIJV1Pf5JZZwokRjb-Dsy8ZY9E,/biz/alta-new-york?osq=Restaurants,10011,0.056101032,3.9,6,38919,75,1,2322,4.5,0,64,0.1,0,4854,9.4,0,0,0,0,10661,92,1,4.5,1,139343,1,1,0
Kong Sihk Tong %E6%B8%AF%E9%A3%9F%E5%A0%82,40.71557414,-73.9980666,"65 Bayard St  New York, NY 10013  Mott St & Elizabeth St  Chinatown",-,/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?osq=Restaurants,10013,0.237943688,4.1,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Tasty Hand-Pulled Noodles,40.7142425,-73.9978903,"1 Doyers St, New York, NY 10013, United States",ChIJmZTuWtBbwokRWxbraRwj8xA,/biz/tasty-hand-pulled-noodles-new-york?osq=Restaurants,10013,0.183256043,3.9,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Despaña Fine Foods & Tapas Cafe,40.7210932,-73.9978255,"408 Broome St, New York, NY 10013, United States",ChIJZzRtHIlZwokRYU5sVES5WNM,/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?osq=Restaurants,10013,0.062928438,4.4,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
